"theme","requirement","documentary_source","code_or_artifact_evidence","status","risk","recommendation"
"Portfolio/risk","Kelly/CVaR sizing implementation must exist","SNIPER_v10.10 spec family","services/ml_engine/sizing/kelly_cvar.py implements CVAR_LIMIT=0.15, stress rho=1, proportional reduction","PARCIAL","Medium because official snapshot has zero exposure","Keep code as implementation evidence, not economic pass."
"Cross-sectional lineage","Correct research baseline is phase5_cross_sectional_sovereign_closure_restored","SNIPER_openclaw_handoff.md","latest clean gate restored SOVEREIGN_BASELINE_RESTORED_AND_VALID and EXACT_RESTORE","SATISFATORIO","Medium if old baseline is used as sovereign anchor","Use restored sovereign closure as research baseline only."
"Cross-sectional status","Family remains alive but not promotable","SNIPER_openclaw_handoff.md; gate_result_review.md","Latest gate and closure docs state ALIVE_BUT_NOT_PROMOTABLE","PARCIAL","Critical if treated as readiness","Freeze as non-promotable unless a new research-only thesis changes merit."
"Unlock rev5","Four orthogonal unlock columns and audit fields outside X","unlock_pressure_rank_technical.md","services/data_inserter/collectors/unlock_support/store.py and token_unlocks.py include observed/reconstructed/proxy/reporting columns","SATISFATORIO","Medium because live coverage quality still matters","Continue monitoring quality reports; do not collapse columns into one training feature."
"Point-in-time data","Unlock reconstruction and Wayback must avoid lookahead","unlock_pressure_rank_technical.md","token_unlocks.py and unlock_support providers include as_of and Wayback handling; docs describe <= as_of_date requirement","PARCIAL","Medium if live provider data changes or coverage is sparse","Keep PIT diagnostics and quality gates before model promotion."
"Fracdiff","Fracdiff must operate in log-space with tau control","SNIPER_v10.10 spec family","services/ml_engine/fracdiff/transform.py states log prices only; optimal_d.py uses fracdiff_log_fast and tau","SATISFATORIO","Low at source level","Keep regression tests around log-space behavior."
"Regime filter","Winsor/RobustScaler/PCA/HMM walk-forward required","SNIPER_v10.10 spec family; previous audit","HMM/regime hooks found in drift/alarm_manager.py, execution pre_trade_check.py, tests/unit/test_hmm_regime_alignment.py","PARCIAL","Medium because this audit did not rerun full regime training","Keep focused HMM tests and require full gate evidence for readiness."
"Triple barrier","Triple-barrier and sample uniqueness required","SNIPER_v10.10 spec family","services/ml_engine/meta_labeling/uniqueness.py references apply_triple_barrier outputs; volatility features feed barriers","PARCIAL","Medium because current PR did not change or rerun full label pipeline","Keep as implemented component; require full model gate before promotion."
"Meta-labeling/CPCV","Purged CPCV and VI feature selection required","SNIPER_v10.10 spec family","services/ml_engine/meta_labeling/cpcv.py implements CPCV N=6 k=2 and reports PBO","SATISFATORIO","Medium because CPCV pass is necessary but not sufficient","Do not let CPCV/PBO override DSR=0.0."
"Paper bridge","Nautilus bridge must enforce snapshot, idempotency, stale handling","SNIPER_v10.10 spec family; paper execution hardening policy","services/nautilus_bridge/contract.py enforces FULL_SNAPSHOT; acceptance.py includes stale/duplicate/out-of-order/revision conflict statuses","PARCIAL","High if treated as paper readiness before quantitative blockers clear","Review bridge separately only after promotion blockers are resolved."
"Redis streams","Paper/execution status should use Redis channels/streams","SNIPER_v10.10 spec family","services/nautilus_bridge/consumer.py and status.py integrate Redis status; execution_engine uses redis.asyncio","PARCIAL","Medium because this audit did not run live Redis/daemon","Keep as source evidence; require runtime gate before readiness."
"Environment","Focused Phase5/Phase6 pytest subset should pass","Autonomous mission closure docs","Reported command returned 26 passed; tests include phase6 gate and HMM alignment","SATISFATORIO","Low for audited subset; full suite not rerun in this audit","Use focused tests for PR review and run broader CI before merge decisions."
"Artifacts hygiene","Stale stop-review scratch files should not remain in the PR worktree","working-tree stabilization audit","autonomous_stop_review.json, autonomous_stop_review.md, next_action_prompt.md were superseded by later Phase6 gates and classified DESCARTAR","SATISFATORIO","Low after discard; medium if stale scratch files reappear","Discard superseded scratch files and commit only current audit/gate artifacts."
"Phase7 paper/testnet","Prolonged paper/testnet readiness requires prior gates","SNIPER phase roadmap","No valid readiness gate because DSR=0.0 and CVaR zero exposure remain","NAO_IMPLEMENTADO","Critical if skipped","Do not start paper/testnet readiness from this branch."
"Phase8 real capital","Real capital requires all previous gates and explicit human decision","SNIPER governance","No real credentials, orders, or capital used; this branch forbids capital operations","NAO_APLICAVEL_OBSOLETO","Critical if violated","Keep real capital out of scope."
